seller_id,months_active,category,gmv_monthly,commission_rate,num_orders,avg_order_value,return_rate,return_cost_estimate,support_tickets_monthly,marketing_spend,seller_tier,registration_source,net_margin_contribution,is_active
S0070,31,jewelry,14721,0.15,38,387.41,0.197,547,19,3248,negotiated,organic,206,1
S0071,24,outerwear,19780,0.22,133,148.73,0.284,1803,1,2061,standard,paid_campaign,2365,1
S0072,29,bags,4281,0.211,9,475.67,0.166,172,2,0,standard,partner,514,1
S0073,22,dresses,22036,0.14,110,200.33,0.315,1492,7,2187,negotiated,organic,953,1
S0074,34,accessories,1026,0.218,5,205.23,0.107,32,0,146,standard,paid_campaign,227,1
S0075,33,jewelry,16124,0.152,64,251.95,0.119,406,19,783,negotiated,referral,586,1
S0076,25,dresses,6113,0.227,32,191.02,0.097,181,2,262,standard,partner,1001,1
S0077,12,underwear,37013,0.169,198,186.94,0.318,2934,8,3972,negotiated,referral,2564,0
S0078,3,accessories,24531,0.145,219,112.02,0.225,1539,19,666,negotiated,organic,477,1
S0079,28,underwear,6556,0.226,33,198.66,0.076,150,1,1974,standard,partner,1247,1
S0080,12,shoes,15194,0.22,133,114.24,0.128,683,2,0,standard,paid_campaign,2510,1
S0081,4,underwear,2130,0.217,12,177.5,0.05,32,2,1173,standard,organic,242,1
S0082,25,accessories,1355,0.231,24,56.48,0.086,58,0,0,standard,partner,269,1
S0083,12,sportswear,4077,0.203,32,127.4,0.099,129,0,1055,standard,paid_campaign,718,1
S0084,29,accessories,4242,0.24,20,212.1,0.207,273,1,2497,standard,partner,615,0
S0085,13,outerwear,8755,0.222,47,186.29,0.206,546,1,2143,standard,referral,1314,1
S0086,31,shoes,19320,0.146,90,214.67,0.193,805,22,1084,negotiated,referral,254,1
S0087,33,outerwear,6369,0.227,47,135.52,0.136,293,1,0,standard,partner,1026,1
S0088,36,sportswear,2100,0.228,12,175.0,0.114,75,1,1345,standard,organic,312,1
S0089,2,underwear,8150,0.164,34,239.71,0.146,270,9,1270,negotiated,organic,388,1
S0090,26,sportswear,19153,0.153,309,61.98,0.202,1528,5,2741,negotiated,organic,953,1
S0091,36,underwear,1967,0.213,20,98.35,0.15,108,2,2471,standard,organic,120,1
S0092,30,dresses,3605,0.24,20,180.24,0.166,193,1,840,standard,partner,622,1
S0093,17,dresses,10678,0.159,48,222.46,0.216,522,20,1786,negotiated,referral,-432,1
S0094,8,jewelry,26105,0.162,142,183.84,0.255,1622,7,2239,negotiated,organic,1964,1
S0095,34,dresses,22205,0.152,84,264.34,0.407,1886,17,2750,negotiated,paid_campaign,63,1
S0096,24,jewelry,26621,0.17,90,295.79,0.236,1387,14,3172,negotiated,organic,1976,1
S0097,25,jewelry,33820,0.143,210,161.05,0.291,2324,12,3746,negotiated,referral,1382,0
S0098,4,jewelry,1658,0.206,5,331.54,0.124,52,2,0,standard,referral,170,1
S0099,17,underwear,3980,0.238,45,88.45,0.05,81,1,922,standard,paid_campaign,755,1
S0100,35,sportswear,4921,0.208,20,246.03,0.082,109,2,1252,standard,paid_campaign,776,1
S0101,18,sportswear,19131,0.15,247,77.45,0.257,1690,16,4658,negotiated,referral,-104,1
S0102,7,shoes,2247,0.221,29,77.49,0.05,47,2,0,standard,referral,315,0
S0103,6,sportswear,2122,0.235,22,96.44,0.055,46,1,579,standard,referral,344,1
S0104,19,jewelry,3831,0.237,25,153.24,0.102,131,0,1053,standard,partner,728,1
S0105,17,shoes,4806,0.234,91,52.82,0.05,124,1,0,standard,referral,968,1
S0106,9,underwear,7352,0.224,31,237.17,0.199,420,2,2085,standard,paid_campaign,1078,1
S0107,16,dresses,21826,0.145,106,205.91,0.25,1189,15,1859,negotiated,organic,684,1
S0108,24,outerwear,3833,0.237,14,273.79,0.059,66,1,630,standard,paid_campaign,744,1
S0109,8,jewelry,5809,0.21,17,341.68,0.05,74,2,296,standard,organic,987,1
S0110,4,jewelry,3626,0.221,11,329.64,0.119,115,0,1821,standard,paid_campaign,579,1
S0111,3,dresses,1581,0.229,5,316.11,0.128,56,1,0,standard,paid_campaign,236,1
S0112,25,bags,7390,0.207,19,388.96,0.102,185,0,2448,standard,paid_campaign,1317,1
S0113,20,accessories,5039,0.207,26,193.82,0.146,209,2,406,standard,paid_campaign,685,1
S0114,2,shoes,2792,0.206,44,63.46,0.146,180,0,1840,standard,organic,388,1
S0115,9,accessories,18982,0.21,176,107.85,0.173,1146,0,662,standard,paid_campaign,2757,1
S0116,27,outerwear,2741,0.227,20,137.07,0.168,155,1,0,standard,organic,412,0
S0117,34,underwear,18257,0.217,137,133.26,0.225,1354,1,0,standard,organic,2418,1
S0118,27,jewelry,8271,0.234,42,196.93,0.151,387,1,446,standard,paid_campaign,1502,1
S0119,36,shoes,7618,0.211,83,91.78,0.125,357,2,195,standard,organic,1049,1
S0120,14,jewelry,8182,0.208,35,233.77,0.163,363,2,0,standard,paid_campaign,1119,1
S0121,31,jewelry,17909,0.15,81,221.09,0.05,195,14,1677,negotiated,organic,1313,1
S0122,22,accessories,36863,0.212,172,214.32,0.183,1902,0,1012,standard,organic,5593,0
S0123,4,jewelry,8873,0.232,20,443.67,0.121,285,0,0,standard,paid_campaign,1796,1
S0124,31,jewelry,2177,0.203,14,155.51,0.05,33,0,0,standard,referral,397,1
S0125,13,outerwear,5530,0.22,29,190.68,0.178,294,2,2035,standard,paid_campaign,739,1
S0126,4,dresses,5386,0.228,17,316.8,0.233,346,1,2135,standard,paid_campaign,692,1
S0127,31,accessories,8689,0.239,37,234.83,0.201,529,0,2306,standard,organic,1538,1
S0128,26,underwear,16605,0.147,102,162.79,0.216,858,10,4679,negotiated,organic,752,1
S0129,4,shoes,7907,0.215,82,96.43,0.05,147,2,0,standard,organic,1394,1
S0130,15,sportswear,30820,0.153,226,136.37,0.266,2156,15,633,negotiated,partner,1218,1
S0131,10,sportswear,2040,0.232,18,113.34,0.129,96,2,0,standard,referral,183,1
S0132,21,bags,21523,0.14,73,294.83,0.242,994,10,2439,negotiated,organic,1185,1
S0133,18,outerwear,37948,0.167,157,241.71,0.371,3225,12,3074,negotiated,organic,1971,1
S0134,20,jewelry,23562,0.145,53,444.56,0.17,716,12,3744,negotiated,paid_campaign,1655,1
S0135,31,underwear,3158,0.233,13,242.91,0.05,47,2,427,standard,organic,476,0
S0136,13,bags,10570,0.223,31,340.97,0.05,141,0,773,standard,paid_campaign,2172,1
S0137,32,shoes,12826,0.228,116,110.57,0.211,984,1,2095,standard,organic,1803,1
S0138,24,bags,3040,0.218,7,434.3,0.05,38,2,1062,standard,referral,437,1
S0139,28,bags,2399,0.227,13,184.51,0.122,90,0,206,standard,organic,420,1
S0140,10,bags,40601,0.168,256,158.6,0.25,2665,12,2506,negotiated,organic,3070,1
S0141,8,jewelry,4321,0.208,16,270.08,0.054,61,1,334,standard,organic,741,1
S0142,28,jewelry,40399,0.151,88,459.08,0.264,1959,15,3019,negotiated,referral,2769,1
S0143,8,outerwear,2892,0.232,8,361.54,0.08,63,2,0,standard,organic,374,1
S0144,20,jewelry,31204,0.146,81,385.24,0.197,1137,8,2066,negotiated,paid_campaign,2656,1
S0145,32,bags,17665,0.14,47,375.84,0.156,496,9,2799,negotiated,referral,1217,0
S0146,36,dresses,4913,0.213,19,258.59,0.153,204,1,2177,standard,paid_campaign,679,1
S0147,11,dresses,12806,0.203,46,278.38,0.172,566,0,629,standard,referral,1901,1
S0148,14,dresses,4312,0.211,29,148.68,0.141,190,2,980,standard,partner,565,1
S0149,23,accessories,5850,0.233,34,172.05,0.113,212,1,382,standard,partner,1037,1
S0150,33,sportswear,12267,0.221,66,185.86,0.134,496,2,877,standard,partner,2027,1
S0151,5,sportswear,1130,0.233,5,226.03,0.053,18,2,441,standard,paid_campaign,97,1
S0152,6,jewelry,25457,0.177,82,310.46,0.232,1331,16,2546,negotiated,referral,1786,1
S0153,9,underwear,1029,0.209,7,147.07,0.095,30,1,1287,standard,paid_campaign,116,1
S0154,28,outerwear,29347,0.14,187,156.94,0.278,1922,19,573,negotiated,referral,657,1
S0155,15,outerwear,14518,0.14,99,146.65,0.314,1105,16,3490,negotiated,organic,-381,1
S0156,28,underwear,8908,0.145,93,95.79,0.176,473,19,542,negotiated,paid_campaign,-665,1
S0157,5,outerwear,32674,0.155,267,122.37,0.258,2340,14,1117,negotiated,paid_campaign,1493,1
S0158,8,accessories,10398,0.206,82,126.81,0.141,475,1,1162,standard,paid_campaign,1530,0
S0159,20,sportswear,20090,0.143,229,87.73,0.208,1312,7,1617,negotiated,paid_campaign,941,1
S0160,1,jewelry,19075,0.21,40,476.87,0.13,599,1,0,standard,partner,3234,1
S0161,3,shoes,51064,0.155,213,239.74,0.354,3933,10,3932,negotiated,partner,3005,1
S0162,33,outerwear,16498,0.217,42,392.81,0.178,749,1,0,standard,partner,2603,1
S0163,4,bags,12788,0.171,27,473.62,0.137,355,7,1896,negotiated,organic,1221,1
S0164,23,outerwear,26711,0.154,83,321.81,0.259,1388,10,1037,negotiated,referral,1877,1
S0165,11,underwear,36137,0.143,512,70.58,0.369,4741,7,2733,negotiated,organic,-295,1
S0166,12,jewelry,6302,0.202,14,450.12,0.05,74,0,0,standard,partner,1130,1
S0167,4,shoes,7802,0.213,37,210.87,0.076,168,1,868,standard,organic,1389,0
S0168,20,dresses,2443,0.211,13,187.92,0.086,61,1,1427,standard,referral,318,1
S0169,1,bags,9332,0.232,62,150.51,0.172,532,0,0,standard,partner,1582,1
S0170,34,outerwear,5932,0.221,16,370.76,0.203,315,0,2407,standard,paid_campaign,974,1
S0171,16,dresses,43239,0.151,114,379.29,0.286,2356,17,837,negotiated,partner,2702,1
S0172,7,accessories,38620,0.158,466,82.87,0.319,4176,12,836,negotiated,organic,745,1
S0173,3,shoes,18148,0.208,82,221.31,0.251,1256,1,2146,standard,organic,2409,1
S0174,29,outerwear,12880,0.202,47,274.03,0.221,731,1,0,standard,paid_campaign,1813,1
S0175,6,bags,8661,0.202,36,240.59,0.052,119,0,0,standard,paid_campaign,1560,1
S0176,28,jewelry,46973,0.14,293,160.32,0.362,3972,15,1051,negotiated,paid_campaign,1294,1
S0177,36,accessories,2904,0.211,43,67.54,0.051,64,0,0,standard,paid_campaign,491,1
S0178,35,dresses,20322,0.155,73,278.38,0.386,1639,12,3338,negotiated,organic,476,1
S0179,4,outerwear,2698,0.219,7,385.38,0.199,138,1,2499,standard,referral,439,1
S0180,2,underwear,48255,0.177,401,120.34,0.328,4774,10,1292,negotiated,referral,2693,1
S0181,31,accessories,60225,0.142,667,90.29,0.367,6810,6,906,negotiated,partner,1002,1
S0182,22,underwear,17004,0.231,220,77.29,0.188,1359,2,2405,standard,organic,2372,1
S0183,26,sportswear,35152,0.146,215,163.5,0.404,3376,10,2203,negotiated,referral,805,1
S0184,11,shoes,16255,0.226,67,242.62,0.131,613,0,438,standard,paid_campaign,2974,1
S0185,7,accessories,42575,0.153,714,59.63,0.27,4651,5,1693,negotiated,referral,1315,1
S0186,15,jewelry,1231,0.235,7,175.8,0.084,33,1,343,standard,organic,208,1
S0187,28,jewelry,1854,0.222,10,185.44,0.118,66,0,2465,standard,organic,255,1
S0188,26,sportswear,10493,0.155,130,80.72,0.129,461,22,1694,negotiated,referral,-512,1
S0189,6,dresses,23918,0.166,157,152.34,0.287,1815,20,1399,negotiated,paid_campaign,551,1
S0190,17,bags,10414,0.226,43,242.19,0.074,222,1,0,standard,paid_campaign,2015,1
S0191,34,accessories,786,0.204,5,157.1,0.05,12,2,1399,standard,paid_campaign,-15,1
S0192,12,outerwear,12844,0.203,77,166.81,0.228,858,2,0,standard,partner,1532,1
S0193,36,shoes,6841,0.233,65,105.24,0.146,375,0,719,standard,organic,1167,1
S0194,7,outerwear,13878,0.221,50,277.55,0.209,798,1,0,standard,partner,2082,1
S0195,10,jewelry,5436,0.216,14,388.28,0.119,165,1,1473,standard,paid_campaign,913,1
S0196,32,dresses,22135,0.202,71,311.76,0.246,1362,1,2253,standard,partner,2938,0
S0197,29,bags,2192,0.231,5,438.39,0.058,34,1,0,standard,organic,418,1
S0198,13,dresses,6645,0.212,35,189.86,0.185,358,2,1973,standard,referral,860,1
S0199,31,accessories,8684,0.146,105,82.7,0.104,296,8,3565,negotiated,organic,335,1
S0200,14,accessories,43208,0.142,800,54.01,0.366,6638,17,723,negotiated,paid_campaign,-1935,1
S0201,17,sportswear,7951,0.2,72,110.43,0.125,334,1,2363,standard,organic,1154,1
S0202,5,sportswear,5686,0.24,54,105.3,0.101,220,1,1525,standard,organic,1047,1
S0203,32,bags,4575,0.221,19,240.8,0.121,157,0,2033,standard,partner,807,1
S0204,33,jewelry,4609,0.229,22,209.5,0.143,198,0,1632,standard,organic,832,1
S0205,6,outerwear,2373,0.23,13,182.53,0.21,156,2,1931,standard,organic,254,1
S0206,8,shoes,10486,0.223,83,126.33,0.076,272,1,1229,standard,partner,1907,1
S0207,6,jewelry,10755,0.208,29,370.86,0.193,516,1,2243,standard,paid_campaign,1603,1
S0208,28,shoes,11279,0.14,196,57.55,0.2,904,10,2703,negotiated,paid_campaign,-115,1
S0209,23,dresses,1636,0.233,11,148.76,0.089,49,0,0,standard,organic,280,1
S0210,32,underwear,21566,0.14,90,239.62,0.133,581,14,2552,negotiated,organic,1270,1
S0211,24,dresses,22055,0.153,98,225.05,0.239,1158,9,1450,negotiated,referral,1522,1
S0212,8,dresses,46521,0.164,184,252.83,0.515,5351,6,3479,negotiated,paid_campaign,1638,1
S0213,33,outerwear,7036,0.226,46,152.97,0.05,114,2,1595,standard,referral,1305,1
S0214,36,accessories,17274,0.14,73,236.62,0.158,555,13,4242,negotiated,organic,786,1
S0215,30,shoes,49470,0.206,453,109.2,0.346,5877,0,280,standard,partner,4078,1
S0216,3,underwear,16546,0.142,213,77.68,0.195,1081,14,2121,negotiated,organic,177,1
S0217,25,bags,2539,0.215,8,317.39,0.05,33,1,0,standard,referral,414,1
S0218,29,outerwear,38571,0.14,175,220.41,0.471,3780,6,4917,negotiated,paid_campaign,933,1
S0219,22,accessories,2064,0.202,11,187.65,0.155,90,1,130,standard,paid_campaign,166,1
S0220,31,dresses,8722,0.227,24,363.44,0.334,782,2,2114,standard,partner,947,1
S0221,32,jewelry,1341,0.226,7,191.55,0.086,35,1,289,standard,paid_campaign,146,1
S0222,30,sportswear,1717,0.222,14,122.67,0.202,119,0,2000,standard,partner,229,1
S0223,15,jewelry,5760,0.225,21,274.3,0.14,226,1,972,standard,organic,953,1
S0224,27,outerwear,44163,0.148,256,172.51,0.282,2926,8,706,negotiated,paid_campaign,2760,0
S0225,33,shoes,2995,0.229,20,149.77,0.087,86,0,212,standard,organic,607,1
S0226,21,outerwear,30285,0.237,133,227.71,0.337,3091,0,517,standard,paid_campaign,3936,0
S0227,33,bags,5142,0.239,13,395.52,0.05,71,1,420,standard,organic,1094,1
S0228,33,outerwear,28382,0.152,89,318.9,0.425,2401,14,3590,negotiated,paid_campaign,737,1
S0229,7,sportswear,28068,0.178,355,79.07,0.305,3148,18,3534,negotiated,organic,375,1
S0230,35,dresses,5567,0.211,16,347.93,0.137,194,1,0,standard,organic,832,1
S0231,21,dresses,25930,0.152,79,328.23,0.418,2143,14,3618,negotiated,organic,688,1
S0232,19,accessories,7647,0.209,31,246.69,0.146,301,2,1654,standard,paid_campaign,1065,1
S0233,10,sportswear,6836,0.202,29,235.73,0.172,312,1,412,standard,organic,909,1
S0234,12,underwear,47461,0.174,229,207.25,0.416,4864,14,2707,negotiated,paid_campaign,2120,1
S0235,31,accessories,3651,0.235,17,214.74,0.157,175,2,966,standard,partner,512,0
S0236,8,dresses,35807,0.236,132,271.27,0.353,3682,2,685,standard,paid_campaign,4407,1
S0237,7,accessories,9650,0.232,40,241.26,0.108,307,1,811,standard,organic,1841,1
S0238,28,accessories,47253,0.16,237,199.38,0.314,3490,18,4260,negotiated,partner,2454,1
S0239,29,accessories,3552,0.202,26,136.61,0.133,147,1,1480,standard,paid_campaign,458,1
S0240,19,shoes,6065,0.225,55,110.27,0.05,109,2,1782,standard,referral,1015,1
S0241,35,accessories,4951,0.226,28,176.81,0.124,191,1,0,standard,organic,812,1
S0242,33,underwear,6683,0.222,77,86.8,0.119,314,0,1896,standard,organic,1189,1
S0243,17,jewelry,2020,0.223,5,403.96,0.115,60,0,2338,standard,organic,389,1
S0244,20,accessories,1690,0.204,21,80.48,0.054,36,2,0,standard,referral,127,1
S0245,31,underwear,17109,0.159,154,111.09,0.199,1001,18,1745,negotiated,paid_campaign,284,1
S0246,5,accessories,14515,0.174,66,219.92,0.157,552,9,4511,negotiated,partner,1312,1
S0247,10,sportswear,46763,0.171,494,94.66,0.221,3405,11,4578,negotiated,paid_campaign,3528,1
S0248,11,accessories,2498,0.22,32,78.07,0.138,142,1,125,standard,referral,276,1
S0249,17,accessories,9018,0.206,154,58.56,0.119,496,2,961,standard,paid_campaign,1188,1
S0250,34,dresses,42933,0.144,131,327.73,0.526,4285,19,4467,negotiated,organic,244,1
S0251,23,accessories,3807,0.224,26,146.42,0.05,62,0,1003,standard,paid_campaign,735,1
S0252,8,sportswear,25388,0.147,191,132.92,0.274,1808,7,2815,negotiated,referral,1255,1
S0253,9,dresses,7989,0.224,61,130.97,0.202,546,2,154,standard,paid_campaign,1081,1
S0254,6,dresses,13332,0.147,46,289.83,0.339,898,17,3197,negotiated,organic,-290,1
S0255,30,sportswear,3188,0.206,50,63.77,0.131,184,2,537,standard,paid_campaign,329,1
S0256,35,shoes,14222,0.207,62,229.39,0.259,1003,2,2207,standard,referral,1697,1
S0257,7,jewelry,4064,0.202,17,239.08,0.151,162,2,2352,standard,paid_campaign,466,1
S0258,1,dresses,1065,0.222,6,177.52,0.089,29,1,0,standard,paid_campaign,103,1
S0259,26,underwear,796,0.223,6,132.65,0.05,13,1,1117,standard,referral,139,1
S0260,8,bags,1532,0.21,5,306.31,0.074,29,1,1958,standard,referral,179,1
S0261,1,dresses,6309,0.214,18,350.51,0.19,308,2,1743,standard,referral,856,1
S0262,26,dresses,23624,0.14,74,319.25,0.283,1250,16,860,negotiated,paid_campaign,712,1
S0263,15,dresses,29577,0.14,134,220.73,0.34,2091,21,1787,negotiated,referral,202,1
S0264,19,dresses,17560,0.151,62,283.22,0.266,953,17,3137,negotiated,paid_campaign,341,1
S0265,8,shoes,4344,0.2,18,241.34,0.05,57,0,356,standard,referral,666,1
S0266,30,underwear,6227,0.239,28,222.4,0.151,288,2,684,standard,partner,976,1
S0267,35,underwear,3030,0.209,14,216.44,0.05,42,2,0,standard,organic,443,1
S0268,16,accessories,50619,0.14,559,90.55,0.293,4533,13,1323,negotiated,organic,1334,1
S0269,3,dresses,1568,0.237,7,223.94,0.129,61,2,1282,standard,referral,156,1
S0270,34,accessories,26886,0.14,170,158.15,0.208,1313,21,1761,negotiated,paid_campaign,706,1
S0271,7,dresses,6415,0.239,22,291.58,0.183,341,2,858,standard,organic,981,1
S0272,24,bags,4934,0.225,17,290.21,0.098,134,1,0,standard,paid_campaign,886,1
S0273,31,outerwear,17962,0.232,106,169.45,0.239,1376,2,1014,standard,referral,2507,1
S0274,4,dresses,12619,0.229,66,191.2,0.126,489,1,1449,standard,organic,2261,1
S0275,13,dresses,8153,0.214,27,301.96,0.115,247,2,719,standard,paid_campaign,1362,1
S0276,11,sportswear,4007,0.22,17,235.71,0.05,57,2,288,standard,paid_campaign,682,1
S0277,26,underwear,695,0.203,5,138.98,0.05,11,1,0,standard,organic,52,1
S0278,6,sportswear,4012,0.201,31,129.41,0.174,221,2,0,standard,organic,376,1
S0279,25,shoes,51281,0.14,480,106.84,0.38,5464,17,2858,negotiated,organic,182,1
S0280,35,sportswear,19833,0.213,117,169.52,0.241,1441,1,2190,standard,organic,2531,1
S0281,6,underwear,32637,0.161,265,123.16,0.186,1717,22,1893,negotiated,paid_campaign,1720,1
S0282,19,jewelry,12866,0.219,30,428.87,0.072,235,0,1281,standard,paid_campaign,2522,1
S0283,16,bags,12040,0.21,28,429.99,0.123,363,2,1035,standard,paid_campaign,2022,1
S0284,29,outerwear,2649,0.221,9,294.37,0.172,124,1,2148,standard,organic,432,1
S0285,15,outerwear,18991,0.207,153,124.12,0.201,1251,0,0,standard,organic,2554,1
S0286,5,outerwear,10251,0.215,60,170.85,0.234,726,2,893,standard,paid_campaign,1336,1
S0287,13,jewelry,10916,0.239,26,419.85,0.079,237,2,0,standard,paid_campaign,2152,1
S0288,8,dresses,2390,0.212,8,298.79,0.131,82,1,0,standard,organic,339,1
S0289,16,sportswear,8585,0.205,147,58.4,0.083,329,2,136,standard,organic,1210,1
S0290,4,jewelry,24790,0.155,66,375.6,0.216,1044,7,1619,negotiated,organic,2141,1
S0291,9,jewelry,2457,0.239,15,163.82,0.117,95,2,2033,standard,organic,351,1
S0292,36,underwear,27276,0.152,195,139.88,0.266,1881,10,2946,negotiated,paid_campaign,1372,1
S0293,16,outerwear,24621,0.161,63,390.81,0.361,1772,21,2206,negotiated,organic,527,1
S0294,3,shoes,13064,0.206,172,75.95,0.18,949,1,1638,standard,referral,1532,1
S0295,5,sportswear,5153,0.223,22,234.21,0.138,204,1,1362,standard,organic,848,1
S0296,18,bags,7326,0.226,18,407.01,0.188,362,1,2352,standard,paid_campaign,1189,1
